date,month,AQI,PM2_5,PM10,SO2,NO2,CO,O3,AQI_SO2,AQI_CO,AQI_NO2,AQI_O3,AQI_PM2_5,AQI_PM10,manual_AQI,AQI_max_1,AQI_max_2,quarter_1,quarter_2,quarter_3,quarter_4,PM25_ratio,PM10_ratio,mean/max,median/max
2014/6/1,6,78.0,54.375,102.875,13.625,21.0,1.672916667,75.16666667,13.625,41.822916675,26.25,37.583333335,74.21875,76.4375,76.4375,41.822916675,76.4375,0,1,0,0,0.9709730171708912,1.0,0.43534156879222363,0.3663426488456865
2014/6/2,6,101.0,71.33333333,140.25,12.95833333,23.875,1.959166667,82.83333333,12.95833333,48.979166675,29.84375,41.416666665,95.4166666625,95.125,95.4166666625,48.979166675,95.4166666625,0,1,0,0,1.0,0.9969432314845826,0.39597048919429595,0.33942364823529414
2014/6/3,6,86.0,58.45833333,120.2083333,13.75,17.45833333,1.764166667,91.0,13.75,44.104166675,21.8229166625,45.5,79.3229166625,85.10416665,85.10416665,45.5,85.10416665,0,1,0,0,0.9320685435852277,1.0,0.41960369734616393,0.3157712305624322
2014/6/4,6,59.0,33.95833333,65.54166667,10.08333333,17.79166667,1.666666667,50.54166667,10.08333333,41.666666675,22.2395833375,25.270833335,48.51190475714286,57.770833335,57.770833335,41.666666675,57.770833335,0,1,0,0,0.8397300498650122,1.0,0.45666454755973734,0.3947870311305894
2014/6/5,6,100.0,73.25,122.6666667,12.625,33.41666667,1.769583333,60.625,12.625,44.239583325,41.770833337499994,30.3125,97.8125,86.33333335,97.8125,44.239583325,97.8125,0,1,0,0,1.0,0.8826411077316294,0.4135229845384449,0.3833220107789886
2014/6/6,6,76.0,40.39583333,99.375,10.95833333,30.25,1.443958333,33.0,10.95833333,36.098958325000005,37.8125,16.5,56.744791662500006,74.6875,74.6875,37.8125,74.6875,0,1,0,0,0.7597629009205021,1.0,0.361296645690566,0.3182389937106918
2014/6/7,6,61.0,27.08333333,71.9375,12.16666667,32.91666667,1.33375,52.58333333,12.16666667,33.34375,41.145833337499994,26.291666665,38.69047618571428,60.96875,60.96875,41.145833337499994,60.96875,0,1,0,0,0.6345952014058723,1.0,0.4587807703446279,0.41702867072111205
2014/6/8,6,69.0,34.875,87.91666667,14.875,38.41666667,1.47125,75.95833333,14.875,36.78125,48.020833337499994,37.979166665,49.82142857142857,68.95833333499999,68.95833333499999,48.020833337499994,68.95833333499999,0,1,0,0,0.7224859732237984,1.0,0.48059320693912444,0.4168246445529166
2014/6/9,6,85.0,45.875,118.6041667,25.89583333,46.3125,1.553125,72.97916667,25.89583333,38.828125,57.890625,36.489583335,63.59375,84.30208335,84.30208335,57.890625,84.30208335,0,1,0,0,0.7543556158152762,1.0,0.43733678779207114,0.38863516588410046
2014/6/10,6,87.0,48.375,123.375,23.75,49.45833333,1.369166667,67.625,23.75,34.229166675,61.822916662500006,33.8125,66.71875,86.6875,86.6875,61.822916662500006,86.6875,0,1,0,0,0.7696467195385724,1.0,0.4241168524106721,0.39648767306990884
