data,AQI,IPRC
2015/10/4,140.67537139177324,0
2015/10/5,118.59237834453583,0
2015/10/6,115.23889822483062,0
2015/10/7,89.84762462139129,0
2015/10/8,61.40527620553971,0
2015/10/9,67.08496100544929,0
2015/10/10,65.37214643836022,0
2015/10/11,71.17693211317062,0
2015/10/12,81.41080216526984,0
2015/10/13,117.55419703960419,0
2015/10/14,121.53605288267136,0
2015/10/15,110.0663130378723,0
2015/10/16,140.94963602066042,0
2015/10/17,125.73834254264831,0
2015/10/18,122.24816314578055,0
2015/10/19,181.91164141058923,0
2015/10/20,202.6730723071098,0
2015/10/21,170.89527581214907,0
2015/10/22,105.10746844768524,0
2015/10/23,82.18442248821259,0
2015/10/24,96.23003586292266,0
2015/10/25,56.23034158706666,0
2015/10/26,41.8420903134346,0
2015/10/27,64.10874763369561,0
2015/10/28,86.06812597990037,0
2015/10/29,88.97044075727463,0
2015/10/30,55.775331580638884,0
2015/10/31,32.03166290283203,0
2015/11/1,50.76317256689072,0
2015/11/2,75.94079266548158,0
2015/11/3,109.27366490840913,0
2015/11/4,113.97066960573196,0
2015/11/5,111.50445768356325,0
2015/11/6,45.726683443784715,0
2015/11/7,38.462810648679735,0
2015/11/8,51.836202571392064,0
2015/11/9,85.40936938166618,0
2015/11/10,87.51054018259049,0
2015/11/11,61.83991786241531,0
2015/11/12,85.28992146492004,0
2015/11/13,96.41394315719603,0
2015/11/14,98.32066956758499,0
2015/11/15,84.93620105743409,0
2015/11/16,110.42275464892386,0
2015/11/17,95.40706204891207,0
2015/11/18,59.17278740763665,0
2015/11/19,76.6476707470417,0
2015/11/20,94.5199878025055,0
2015/11/21,67.49624544024468,0
2015/11/22,54.100537881851196,0
2015/11/23,45.01538443207741,0
2015/11/24,31.24006280660629,0
2015/11/25,51.56505444765091,0
2015/11/26,59.20596222996711,0
2015/11/27,103.60229203581811,0
2015/11/28,166.47188465118407,0
2015/11/29,222.63248760700225,0
2015/11/30,272.4158682882786,0
2015/12/1,166.15623872995377,0
2015/12/2,108.068165371418,0
2015/12/3,80.32334348082543,0
2015/12/4,77.64765397548675,0
2015/12/5,111.38562391519548,0
2015/12/6,157.68429204702377,0
2015/12/7,203.5717314362526,0
2015/12/8,224.60435055375103,0
2015/12/9,241.71513374328612,0
2015/12/10,175.52827605485916,0
2015/12/11,152.30254536032675,0
2015/12/12,113.89871146798131,0
2015/12/13,65.50482584476471,0
2015/12/14,66.39601711034774,0
2015/12/15,71.70923159480094,0
2015/12/16,62.29837403893471,0
2015/12/17,78.88520395159722,0
2015/12/18,101.62042583465578,0
2015/12/19,147.37925251722336,0
2015/12/20,205.31659777164458,0
2015/12/21,278.0988052690029,0
2015/12/22,270.18920327186584,0
2015/12/23,322.3027913188934,0
2015/12/24,136.50659744024276,0
2015/12/25,72.15813467979432,0
2015/12/26,79.28542869091035,0
2015/12/27,136.19143821716307,0
2015/12/28,198.93563354611396,0
2015/12/29,209.48623124599456,0
2015/12/30,180.7752983057499,0
2015/12/31,208.73994977474212,0
2016/1/1,181.47624856114385,0
2016/1/2,262.24520700216294,0
2016/1/3,267.84864866852763,0
2016/1/4,265.80973631858825,0
2016/1/5,294.4458834183216,0
2016/1/6,336.12920516967773,0
2016/1/7,224.09087052226067,0
2016/1/8,196.40174733400343,0
2016/1/9,206.4569895219803,0
2016/1/10,187.13653113484384,0
2016/1/11,167.72486878752707,0
2016/1/12,159.71126558661462,0
2016/1/13,164.6227561497688,0
2016/1/14,87.00821118831637,0
2016/1/15,101.03324989795685,0
2016/1/16,156.00183312654497,0
2016/1/17,105.66773002147674,0
2016/1/18,77.17232563853263,0
2016/1/19,67.63093940615654,0
2016/1/20,84.86439402580261,0
2016/1/21,128.98724999904633,0
2016/1/22,69.95604900240899,0
2016/1/23,79.39312859296798,0
2016/1/24,66.12976577758789,0
2016/1/25,67.99826725959778,0
2016/1/26,85.53926427841186,0
2016/1/27,125.88374802589418,0
2016/1/28,117.96258100748064,0
2016/1/29,186.4610592842102,0
2016/1/30,199.13914090156555,0
2016/1/31,73.03067296028136,0
2016/2/1,59.0177835547924,0
2016/2/2,82.98004017829895,0
2016/2/3,137.0341785275936,0
2016/2/4,128.66641733527186,0
2016/2/5,83.63075804710388,0
2016/2/6,51.590832102298734,0
2016/2/7,73.38333510279655,0
2016/2/8,248.80960107684137,0
2016/2/9,171.53758129835128,0
2016/2/10,186.790079382658,0
2016/2/11,204.82546567559243,0
2016/2/12,112.72568855285644,0
2016/2/13,74.13953382730485,0
2016/2/14,51.92870226621628,0
2016/2/15,59.48843906879425,0
2016/2/16,58.434205174446106,0
2016/2/17,63.79991982817649,0
2016/2/18,91.01630801200865,0
2016/2/19,198.73742847919465,0
2016/2/20,164.41971491336818,0
2016/2/21,104.56669045925142,0
2016/2/22,124.6631064414978,0
2016/2/23,100.73626315116881,0
2016/2/24,111.19633066654205,0
2016/2/25,109.80888150215148,0
2016/2/26,89.50403501868249,0
2016/2/27,87.02001051187516,0
2016/2/28,85.45396772623062,0
2016/2/29,58.73218871831894,0
2016/3/1,88.41801460504533,0
2016/3/2,93.61437319397928,0
2016/3/3,100.21312840938569,0
2016/3/4,150.4695548093319,0
2016/3/5,157.22913003802302,0
2016/3/6,198.18872522115709,0
2016/3/7,175.96657272100447,0
2016/3/8,159.52660678386687,0
2016/3/9,103.66717050909995,0
2016/3/10,67.9928187251091,0
2016/3/11,86.19928733944894,0
2016/3/12,141.5585765981674,0
2016/3/13,99.87892331957818,0
2016/3/14,97.32741605043411,0
2016/3/15,116.22568428039551,0
2016/3/16,174.53763783335683,0
2016/3/17,191.48993445396422,0
2016/3/18,136.2380560874939,0
2016/3/19,130.274822204113,0
2016/3/20,132.0123021221161,0
2016/3/21,117.39241428375243,0
